IfcBuildingElement
IfcBuildingElement;IfcBeam
IfcBuildingElement;IfcBeam;IfcBeamStandardCase
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;beam
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;hollowcore
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;joist
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;lintel
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;notdefined
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;spandrel
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;t_beam
IfcBuildingElement;IfcBeam;IfcBeamStandardCase;IfcBeamTypeEnum;userdefined
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;beam
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;hollowcore
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;joist
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;lintel
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;notdefined
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;spandrel
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;t_beam
IfcBuildingElement;IfcBeam;IfcBeamTypeEnum;userdefined
IfcBuildingElement;IfcBuildingElementProxy
IfcBuildingElement;IfcBuildingElementProxy;IfcBuildingElementProxyTypeEnum
IfcBuildingElement;IfcBuildingElementProxy;IfcBuildingElementProxyTypeEnum;complex
IfcBuildingElement;IfcBuildingElementProxy;IfcBuildingElementProxyTypeEnum;element
IfcBuildingElement;IfcBuildingElementProxy;IfcBuildingElementProxyTypeEnum;notdefined
IfcBuildingElement;IfcBuildingElementProxy;IfcBuildingElementProxyTypeEnum;partial
IfcBuildingElement;IfcBuildingElementProxy;IfcBuildingElementProxyTypeEnum;provisionforspace
