SL;25;10;68;Primary special educational needs (SEN) classrooms
SL;25;10;72;Reception classrooms
SL;25;10;74;Science studios
SL;25;10;75;Science laboratories
SL;25;10;76;Secondary special educational needs (SEN) classrooms
SL;25;10;77;Semi-open classbases
SL;25;10;78;Seminar rooms
SL;25;10;79;Shared teaching areas
SL;25;10;81;Sixth form special educational needs (SEN) classrooms
SL;25;10;84;Study spaces
SL;25;20;;Design spaces
SL;25;20;04;Artists' studios
SL;25;20;18;Creative art studios
SL;25;20;23;Designers' studios
SL;25;30;;Scientific and laboratory spaces
SL;25;30;02;Anechoic chambers
SL;25;30;04;Astronomical observatories
SL;25;30;05;Autoclave rooms
SL;25;30;07;Biological laboratories
SL;25;30;08;Biological samples storage room
SL;25;30;09;Biomechanics laboratories
SL;25;30;10;Bioscience laboratories
SL;25;30;13;Chemistry laboratories
SL;25;30;14;Clean rooms
SL;25;30;15;Clinical biochemistry laboratories
SL;25;30;16;Clinical microbiology laboratories
SL;25;30;17;Clinical pathology laboratories
SL;25;30;19;Containment laboratories
SL;25;30;21;Darkrooms
SL;25;30;22;Dental laboratories
SL;25;30;23;Dissection rooms
SL;25;30;24;EMI shielded room
SL;25;30;25;Ecology laboratories
SL;25;30;26;Earth sciences laboratories
SL;25;30;27;Engineering laboratories
SL;25;30;28;Experiment control rooms
SL;25;30;29;Flow cytometry rooms
SL;25;30;30;Food testing laboratories
SL;25;30;31;Forensics laboratories
SL;25;30;32;Forensic scientific support rooms
SL;25;30;33;Geology laboratories
SL;25;30;35;Growth chamber
SL;25;30;42;Instrument rooms
SL;25;30;46;Laboratory cold rooms
SL;25;30;47;Laboratory warm rooms
SL;25;30;50;Material testing laboratories
SL;25;30;66;Physics laboratories
SL;25;30;68;Psychology laboratories
SL;25;30;70;Radiation shielded rooms
SL;25;30;71;Radiation laboratories
SL;25;30;76;Scientific equipment rooms
SL;25;30;78;Seismograph rooms
SL;25;30;87;Temperature-controlled room
SL;25;30;88;Testing rooms
SL;25;40;;Training spaces
SL;25;40;03;Animal care training rooms
SL;25;40;11;Catering training kitchens
SL;25;40;15;Construction workshops
SL;25;40;22;Design technology studios
SL;25;40;23;Design technology workshops
SL;25;40;27;Engineering workshops
SL;25;40;36;Hair and beauty training salons
SL;25;40;38;Health and clinical training rooms
SL;25;40;40;Information and communications technology (ICT)-rich studios
SL;25;40;42;Independent life skills rooms
SL;25;40;50;Manufacturing workshops
SL;25;40;51;Media studios
SL;25;40;61;Outdoor training spaces
SL;25;40;65;Photography studios
SL;25;40;70;Rail training simulators
SL;25;40;90;Training restaurants
SL;25;40;94;Vehicle workshops
SL;25;50;;Exhibition spaces
SL;25;50;15;Collection exhibition spaces
SL;25;50;16;Conservation rooms
SL;25;50;21;Diorama rooms
SL;25;50;26;External galleries
SL;25;50;29;Fauna exhibition spaces
SL;25;50;31;Flora exhibition spaces
SL;25;50;42;Internal galleries
SL;25;50;63;Planetariums
SL;25;50;94;Viewing spaces
SL;25;70;;Information spaces
SL;25;70;02;Archives
SL;25;70;04;Audiovisual archives
SL;25;70;05;Audiovisual study rooms
SL;25;70;13;Conference rooms
SL;25;70;47;Library rooms
SL;25;70;72;Reading rooms
