Color_Index;Color_RGB;Plot_Color;Plot_LWeight;RVT_Lweight
173;82,82,165;89,89,89;0.05;2
174;0,0,127;0,0,0;0.05;2
175;63,63,127;(Object);(Object);Default
176;0,0,76;(Object);(Object);Default
177;38,38,76;(Object);(Object);Default
178;0,0,38;(Object);(Object);Default
179;19,19,38;(Object);(Object);Default
180;63,0,255;(Object);0.05;2
181;159,127,255;128,128,128;0.05;2
182;41,0,165;64,64,64;0.05;2
183;103,82,165;64,64,64;0.05;2
184;31,0,127;(Object);(Object);Default
185;79,63,127;(Object);(Object);Default
186;19,0,76;(Object);(Object);Default
187;47,38,76;(Object);(Object);Default
188;9,0,38;(Object);(Object);Default
189;23,19,38;(Object);(Object);Default
190;127,0,255;0,0,0;0.2;5
191;191,127,255;0,0,0;0.01;1
192;82,0,165;0,0,0;0.05;2
193;124,82,165;38,38,38;0.05;2
194;63,0,127;(Object);(Object);Default
195;95,63,127;(Object);(Object);Default
196;38,0,76;(Object);(Object);Default
197;57,38,76;(Object);(Object);Default
198;19,0,38;(Object);(Object);Default
199;28,19,38;(Object);(Object);Default
200;191,0,255;191,0,255;0.25;6
201;223,127,255;0,0,0;0.05;2
202;124,0,165;165,0,221;0.4;7
203;145,82,165;(Object);(Object);Default
204;95,0,127;74,0,149;0.3;7
205;111,63,127;(Object);(Object);Default
206;57,0,76;(Object);(Object);Default
207;66,38,76;(Object);(Object);Default
208;28,0,38;(Object);(Object);Default
209;33,19,38;(Object);(Object);Default
210;255,0,255;221,0,221;0.3;7
211;255,127,255;0,0,0;0.01;1
212;165,0,165;166,166,166;0.05;2
213;165,82,165;0,0,0;0.3;7
214;127,0,127;0,0,0;0.01;1
215;127,63,127;(Object);0.5;8
216;76,0,76;153,153,153;0.01;1
217;76,38,76;(Object);(Object);Default
218;38,0,38;(Object);(Object);Default
219;38,19,38;(Object);(Object);Default
220;255,0,191;(Object);0.25;6
221;255,127,223;128,128,128;0.05;2
222;165,0,124;128,128,128;0.05;2
223;165,82,145;0,0,0;0.05;2
224;127,0,95;(Object);(Object);Default
225;127,63,111;(Object);(Object);Default
226;76,0,57;0,0,0;0.01;1
227;76,38,66;(Object);(Object);Default
228;38,0,28;(Object);(Object);Default
229;38,19,33;64,64,64;0.05;2
230;255,0,127;255,0,0;0.01;1
231;255,127,191;0,0,0;0.01;1
232;165,0,82;221,0,110;0.25;6
233;165,82,124;0,0,0;0.05;2
234;127,0,63;(Object);(Object);Default
235;127,63,95;(Object);(Object);Default
236;76,0,38;(Object);(Object);Default
237;76,38,57;(Object);(Object);Default
238;38,0,19;(Object);(Object);Default
239;38,19,28;(Object);(Object);Default
240;255,0,63;255,0,63;0.01;1
241;255,127,159;0,0,0;0.3;7
242;165,0,41;0,0,0;0.05;2
243;165,82,103;(Object);(Object);Default
244;127,0,31;(Object);(Object);Default
245;127,63,79;(Object);(Object);Default
246;76,0,19;(Object);(Object);Default
247;76,38,47;(Object);(Object);Default
248;38,0,9;(Object);(Object);Default
249;38,19,23;(Object);(Object);Default
250;0,0,0;(Object);(Object);Default
251;101,101,101;118,118,118;0.3;7
252;102,102,102;152,152,152;0.18;5
253;153,153,153;186,186,186;(Object);Default
254;204,204,204;219,219,219;0.18;5
255;255,255,255;250,250,250;0.1;3
